Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL-1,QPL-2,QPL-3,QPL-4
2019,6,7,1.33592000,1.33666000,1.32617000,1.32767000,64407,1.00000000,1.32900368,1.33216840,1.33613164,1.34059271,1.31487186,1.31926195,1.32318679,1.32633766
2019,6,6,1.34135000,1.34297000,1.33585000,1.33590000,63426,1.00619883,1.33724195,1.34042628,1.34441409,1.34890281,1.32302253,1.32743983,1.33138900,1.33455940
2019,6,5,1.33927000,1.34277000,1.33623000,1.34136000,65416,1.00408713,1.34270743,1.34590478,1.34990889,1.35441596,1.32842990,1.33286525,1.33683057,1.34001392
2019,6,4,1.34350000,1.34491000,1.33810000,1.33928000,69423,0.99844934,1.34062534,1.34381773,1.34781563,1.35231571,1.32636995,1.33079842,1.33475759,1.33793601
2019,6,3,1.35164000,1.35265000,1.34343000,1.34361000,71506,1.00323308,1.34495969,1.34816240,1.35217323,1.35668786,1.33065821,1.33510100,1.33907297,1.34226166
2019,5,31,1.34989000,1.35642000,1.34927000,1.35203000,51674,1.00626670,1.35338815,1.35661093,1.36064689,1.36518981,1.33899704,1.34346768,1.34746454,1.35067321
2019,5,30,1.35188000,1.35200000,1.34850000,1.34988000,66020,0.99840980,1.35123599,1.35445365,1.35848319,1.36301888,1.33686777,1.34133129,1.34532180,1.34852537
2019,5,29,1.34926000,1.35458000,1.34785000,1.35183000,52920,1.00144457,1.35318795,1.35641025,1.36044562,1.36498786,1.33879897,1.34326895,1.34726521,1.35047341
2019,5,28,1.34411000,1.34984000,1.34327000,1.34924000,32772,0.99808408,1.35059535,1.35381148,1.35783911,1.36237266,1.33623394,1.34069535,1.34468396,1.34788601
2019,5,27,1.34354000,1.34522000,1.34289000,1.34416000,54631,0.99623492,1.34551024,1.34871427,1.35272673,1.35724321,1.33120291,1.33564752,1.33962111,1.34281111
2019,5,24,1.34713000,1.34819000,1.34297000,1.34373000,65121,0.99968010,1.34507981,1.34828281,1.35229399,1.35680902,1.33077705,1.33522024,1.33919256,1.34238154
2019,5,23,1.34310000,1.35018000,1.34301000,1.34727000,51664,1.00263446,1.34862337,1.35183480,1.35585655,1.36038348,1.33428293,1.33873782,1.34272061,1.34591799
2019,5,22,1.34036000,1.34377000,1.33570000,1.34319000,52074,0.99697165,1.34453927,1.34774098,1.35175055,1.35626377,1.33024226,1.33468366,1.33865439,1.34184208
2019,5,21,1.34288000,1.34329000,1.33952000,1.34048000,49092,0.99798241,1.34182655,1.34502180,1.34902328,1.35352739,1.32755838,1.33199082,1.33595354,1.33913480
2019,5,20,1.34392000,1.34557000,1.34157000,1.34281000,59237,1.00173818,1.34415889,1.34735969,1.35136813,1.35588007,1.32986592,1.33430607,1.33827567,1.34146247
2019,5,17,1.34571000,1.35128000,1.34342000,1.34641000,47982,1.00268095,1.34776250,1.35097189,1.35499107,1.35951511,1.33343122,1.33788327,1.34186351,1.34505885
2019,5,16,1.34359000,1.34690000,1.34003000,1.34595000,54889,0.99965835,1.34730204,1.35051033,1.35452814,1.35905063,1.33297565,1.33742618,1.34140507,1.34459931
2019,5,15,1.34614000,1.34929000,1.34266000,1.34361000,51064,0.99826145,1.34495969,1.34816240,1.35217323,1.35668786,1.33065821,1.33510100,1.33907297,1.34226166
2019,5,14,1.34706000,1.34868000,1.34556000,1.34617000,57249,1.00190531,1.34752226,1.35073108,1.35474954,1.35927277,1.33319353,1.33764479,1.34162432,1.34481909
2019,5,13,1.34192000,1.34839000,1.34156000,1.34707000,70292,1.00066856,1.34842317,1.35163413,1.35565528,1.36018153,1.33408486,1.33853909,1.34252129,1.34571819
2019,5,10,1.34744000,1.34845000,1.33798000,1.34201000,60156,0.99624370,1.34335808,1.34655698,1.35056303,1.35507228,1.32907363,1.33351114,1.33747837,1.34066327
2019,5,9,1.34725000,1.35046000,1.34584000,1.34753000,54657,1.00411323,1.34888363,1.35209569,1.35611821,1.36064601,1.33454042,1.33899618,1.34297973,1.34617773
2019,5,8,1.34714000,1.34862000,1.34443000,1.34725000,53563,0.99979221,1.34860335,1.35181474,1.35583643,1.36036329,1.33426312,1.33871795,1.34270068,1.34589801
